#Postnummer	Sted	Kommunenummer	Kommunenavn	Fylkesnummer	Fylkesnavn
0001	OSLO	0301	Oslo	03	Oslo
0010	OSLO	0301	Oslo	03	Oslo
0015	OSLO	0301	Oslo	03	Oslo
0016	OSLO	0301	Oslo	03	Oslo
0017	OSLO	0301	Oslo	03	Oslo
0018	OSLO	0301	Oslo	03	Oslo
0021	OSLO	0301	Oslo	03	Oslo
0022	OSLO	0301	Oslo	03	Oslo
0023	OSLO	0301	Oslo	03	Oslo
0024	OSLO	0301	Oslo	03	Oslo
0025	OSLO	0301	Oslo	03	Oslo
0026	OSLO	0301	Oslo	03	Oslo
0027	OSLO	0301	Oslo	03	Oslo
0028	OSLO	0301	Oslo	03	Oslo
0030	OSLO	0301	Oslo	03	Oslo
0031	OSLO	0301	Oslo	03	Oslo
0032	OSLO	0301	Oslo	03	Oslo
0033	OSLO	0301	Oslo	03	Oslo
0034	OSLO	0301	Oslo	03	Oslo
0037	OSLO	0301	Oslo	03	Oslo
0040	OSLO	0301	Oslo	03	Oslo
0041	OSLO	0301	Oslo	03	Oslo
0042	OSLO	0301	Oslo	03	Oslo
0043	OSLO	0301	Oslo	03	Oslo
0045	OSLO	0301	Oslo	03	Oslo
0046	OSLO	0301	Oslo	03	Oslo
0047	OSLO	0301	Oslo	03	Oslo
0048	OSLO	0301	Oslo	03	Oslo
0050	OSLO	0301	Oslo	03	Oslo
0051	OSLO	0301	Oslo	03	Oslo
0055	OSLO	0301	Oslo	03	Oslo
0080	OSLO	0301	Oslo	03	Oslo
0081	OSLO	0301	Oslo	03	Oslo
0101	OSLO	0301	Oslo	03	Oslo
0102	OSLO	0301	Oslo	03	Oslo
0103	OSLO	0301	Oslo	03	Oslo
0104	OSLO	0301	Oslo	03	Oslo
0105	OSLO	0301	Oslo	03	Oslo
0106	OSLO	0301	Oslo	03	Oslo
0107	OSLO	0301	Oslo	03	Oslo
0109	OSLO	0301	Oslo	03	Oslo
0110	OSLO	0301	Oslo	03	Oslo
0111	OSLO	0301	Oslo	03	Oslo
0112	OSLO	0301	Oslo	03	Oslo
0113	OSLO	0301	Oslo	03	Oslo
0114	OSLO	0301	Oslo	03	Oslo
0115	OSLO	0301	Oslo	03	Oslo
0116	OSLO	0301	Oslo	03	Oslo
0117	OSLO	0301	Oslo	03	Oslo
0118	OSLO	0301	Oslo	03	Oslo
0119	OSLO	0301	Oslo	03	Oslo
0120	OSLO	0301	Oslo	03	Oslo
0121	OSLO	0301	Oslo	03	Oslo
0122	OSLO	0301	Oslo	03	Oslo
0123	OSLO	0301	Oslo	03	Oslo
0124	OSLO	0301	Oslo	03	Oslo
0125	OSLO	0301	Oslo	03	Oslo
0126	OSLO	0301	Oslo	03	Oslo
0127	OSLO	0301	Oslo	03	Oslo
0128	OSLO	0301	Oslo	03	Oslo
0129	OSLO	0301	Oslo	03	Oslo
0130	OSLO	0301	Oslo	03	Oslo
